image,ground_truth,prediction,CER_score
test059_2.jpg,B9162FXU,B-9162FXU,0.125
test060_1.jpg,L1846JE,LE1846JE,0.1429
test060_2.jpg,M1457ITA,M1457ITA,0.0
test061_1.jpg,AA1971KJ,AA1971KJ,0.0
test061_2.jpg,BD1146DH,BD1146DH,0.0
test062_1.jpg,B9654PEU,"B965/4,PEU",0.25
test062_2.jpg,AE7244S,AE7246S,0.1429
test063_1.jpg,S1208BI,S1208BI,0.0
test064_1.jpg,AE8137G,AE8137G,0.0
test065_1.jpg,H1706SW,170611-26HSW,1.0
test066_1.jpg,T1220HS,1220HS,0.1429
test066_2.jpg,H1790ZY,HYC6-28,0.8571
test067_1.jpg,L1855BR,1855BR,0.1429
test067_2.jpg,AB1274EV,ABE1274EV,0.125
test068_1.jpg,B2310UZS,B2310UZS,0.0
test068_2.jpg,G1264CM,G126CM02-28,0.8571
test069_1.jpg,AA1138AK,AAA1138AK,0.125
test070_1.jpg,B2160TOB,B2160TOB,0.0
test070_2.jpg,B2597BYK,B2597BYK,0.0
test071_1.jpg,G9545AG,GCAG9545AG,0.4286
test072_1.jpg,BG1870IB,BCG1870BLB,0.375
test073_1.jpg,T1187HB,1187HB,0.1429
test073_2.jpg,A1330FP,AFP,0.5714
test074_1.jpg,G1368GE,1368D44-27GE,1.0
test074_2.jpg,B1081CMR,B1081CMR,0.0
test075_1.jpg,G2474XZ,2417XYL12-29,1.4286
test075_2.jpg,G9173BP,GC9173BP,0.1429
test075_3.jpg,7066OF,7600032,0.8333
test076_1.jpg,G2151ASF,EC2151ASFOT07926,1.125
test076_2.jpg,E500MA,E500MA,0.0
test076_3.jpg,G4689SN,C46809SN,0.2857
test077_1.jpg,G1754QZ,G6754O2,0.4286
test078_1.jpg,H1413DH,HDH141306-26,1.0
test079_1.jpg,T1688GY,T1688GY,0.0
test079_2.jpg,A1260AJ,AAJ126CAJ,0.4286
test080_1.jpg,D77HSB,77HSBD,0.3333
test080_2.jpg,B1861TOI,BA1861YT,0.5
test080_3.jpg,D1160ADE,1160ADE,0.125
test081_1.jpg,F8097BD,80097,0.5714
test081_2.jpg,F1992AM,F1992AM,0.0
test082_1.jpg,E1824YZ,E1824YY07-23,0.8571
test082_2.jpg,B9093UEX,B90093UEX,0.125
test083_1.jpg,F5052AAE,F5052AAE02-27,0.625
test083_2.jpg,F5452CQ,F-5452CO,0.2857
test084_1.jpg,B1158PYP,B1158PYP,0.0
test084_2.jpg,B1242VOY,B1262VOY,0.125
test085_1.jpg,B1315KIF,B1315KF,0.125
test085_2.jpg,B2938FVJ,B2938FVWJ,0.125
test085_3.jpg,B2560SKZ,B2560SKW,0.125
test086_1.jpg,B1291NOJ,B1291NOJ,0.0
test086_2.jpg,B1556NRC,B1556NRC04-27,0.625
test087_1.jpg,B6823WXR,B.6823WXWR,0.25
test087_2.jpg,B6317NXK,B6317NXXK06-28,0.75
test087_3.jpg,F2215FCQ,F215FCO06.28,0.875
test087_4.jpg,4039NHR,0439NHR,0.2857
test088_1.jpg,B2190TYB,B2190TYB,0.0
test088_2.jpg,B1902VKA,BVKA1902,0.75
test089_1.jpg,D8609N,D86009N,0.1667
test089_2.jpg,A8406ZE,A-8406E,0.2857
test089_3.jpg,B1246KRK,B1246KRK,0.0
test090_1.jpg,T9314E,9311401-26,1.1667
test090_2.jpg,N9579U,N0579U,0.1667
test091_1.jpg,B2910KZW,B2910KWW,0.125
test091_2.jpg,B9721KXV,B9721XVV,0.25
test092_1.jpg,B1104AAA,B1104AA,0.125
test092_2.jpg,T1579FN,TFN157903-27,1.0
test092_3.jpg,B2346POC,B2346POC,0.0
test093_1.jpg,B2026BIU,B2026OLXA,0.5
test094_1.jpg,G1255EJ,G1255C46-29,0.8571
test095_1.jpg,B1201KAD,B1201KAD,0.0
test095_2.jpg,B2310JUK,B2310JUK,0.0
test095_3.jpg,B28YHH,B28YH16-37,0.8333
test096_1.jpg,B1354COJ,BBCOJ1354,0.875
test096_2.jpg,B1502NRO,B1502NROC6-28,0.625
test097_1.jpg,B1650NOG,1650NOG,0.125
test097_2.jpg,B6354SVL,BF354SVM,0.25
test098_1.jpg,B1779DOB,B1779DABC6-28,0.75
test099_1.jpg,B2017PBQ,BBQO2017PBO,0.5
test099_2.jpg,B1892WZT,1892WWT,0.25
test100_1.jpg,B1071PRG,B1071PRGC6-29,0.625
test100_2.jpg,B2134PZJ,B82136PZJ,0.25
